Name,Symbol,Decimals,Address on GC,Address on ETH
Decentralized Insurance Protocol,DIP,18,0x48b1B0d077b4919b65b4E4114806dD803901E1D9,0xc719d010B63E5bbF2C0551872CD5316ED26AcD83
Tether USD,USDT,6,0x4ECaBa5870353805a9F068101A40E0f32ed605C6,0xdAC17F958D2ee523a2206206994597C13D831ec7
Aura Finance,AURA,18,0x1509706a6c66CA549ff0cB464de88231DDBe213B,
Backed NIU Technologies,BNIU,18,0x2f11EeeE0bf21E7661A22dbBbb9068F4ad191b86,
Curve.fi wxDAI/USDC/USDT,X3CRV,18,0x1337BedC9D22ecbe766dF105c9623922A27963EC,
Bread,BREAD,18,0xa555d5344f6FB6c65da19e403Cb4c1eC4a1a5Ee3,
PoolTogether,POOL,18,0x216a7d520992eD198593A16e0b17c784c9cdc660,0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e
Brazilian real,WBRL,18,0xD76f5Faf6888e24D9F04Bf92a0c8B921FE4390e0,
Jarvis Synthetic Euro,JEUR,18,0x9fB1d52596c44603198fB0aee434fac3a679f702,
Giveth,GIV,18,0x4f4F9b8D5B4d0Dc10506e5551B0513B61fD59e75,0x900dB999074d9277c5DA2A43F252D74366230DA0
DeHive,DHV,18,0xFbdd194376de19a88118e84E279b977f165d01b8,
Euro Coin,EURC,6,0x54E4cB2a4Fa0ee46E3d9A98D13Bea119666E09f6,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c
Argentine Peso,WARS,18,0x0DC4F92879B7670e5f4e4e6e3c801D229129D90D,
Backed HIGH € High Yield Corp Bond,BHIGH,18,0x20C64dEE8FdA5269A78f2D5BDBa861CA1d83DF7a,
Elk Finance,ELK,18,0xeEeEEb57642040bE42185f49C52F7E9B38f8eeeE,
Everclear,CLEAR,18,0x58b9cB810A68a7f3e1E4f8Cb45D1B9B3c79705E8,0x58b9cB810A68a7f3e1E4f8Cb45D1B9B3c79705E8
Space Token,SPACE,18,0x1D1498166DDCEeE616a6d99868e1E0677300056f,
Lucid USDC,LUSDC,6,0xCD2f64112ec04e21cC56F7bf2294A6A37790305e,
DAOhaus Token,HAUS,18,0xb0C5f3100A4d9d9532a4CfD68c55F1AE8da987Eb,0xf2051511B9b121394FA75B8F7d4E7424337af687
Circuits of Value,COVAL,8,0x8b8407c6184f1f0Fd1082e83d6A3b8349cAcEd12,
STAKE,STAKE,18,0xb7D311E2Eb55F2f68a9440da38e7989210b9A05e,0x0Ae055097C6d159879521C384F1D2123D1f195e6
Donut,DONUT,18,0x524B969793a64a602342d89BC2789D43a016B13A,0xC0F9bD5Fa5698B6505F643900FFA515Ea5dF54A9
Wrapped Backed Coinbase Global,WBCOIN,18,0xDEc933e2392AD908263e70A386fbF34e703Ffe8F,
Chilean Peso,WCLP,18,0x61D450a098b6a7f69fC4b98CE68198fe59768651,
Mexican Peso,WMXN,18,0x337E7456B420bD3481e7FA61fA9850343d610d34,
Colombian Peso,WCOP,18,0x8a1D45e102e886510e891d2Ec656a708991e2D76,
Hop,HOP,18,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC
Peruvian Sol,WPEN,18,0x4F34c8b3b5FB6D98Da888F0feA543d4d9C9F2eBE,
Minerva Wallet,MIVA,18,0x63e62989D9EB2d37dfDB1F93A22f063635b07d51,
Wrapped Aave Gnosis wstETH,WAGNOWSTETH,18,0x773CDA0CADe2A3d86E6D4e30699d40bB95174ff2,
Wrapped bTSLA,WBTSLA,18,0x1f82284C1658Ad71C576f7230E6C2DEE7901c1FA,
Wrapped Aave Gnosis GNO,WAGNOGNO,18,0x7c16F0185A26Db0AE7a9377f23BC18ea7ce5d644,
Particle,PRTCLE,18,0xB5d592f85ab2D955c25720EbE6FF8D4d1E1Be300,
Wrapped Aave Gnosis WETH,WAGNOWETH,18,0x57f664882F762FA37903FC864e2B633D384B411A,
Wrapped bMSTR,WBMSTR,18,0x1a4F71B0Ff3C22540887bcf83b50054a213c673d,
Wrapped bNVDA,WBNVDA,18,0x7E8101A1C322D394b3961498c7D40d2DFA94C392,
Backed Microsoft,BMSFT,18,0x374A457967Ba24FD3Ae66294cAb08244185574b0,
Backed Tesla,BTSLA,18,0x14A5f2872396802C3Cc8942A39Ab3E4118EE5038,
Backed Alphabet Class A,BGOOGL,18,0xEbee37Aaf2905b7BdA7E3b928043862e982E8F32,
Backed NVIDIA,BNVDA,18,0xA34C5e0AbE843E10461E2C9586Ea03E55Dbcc495,
Backed MicroStrategy,BMSTR,18,0xaC28C9178ACc8BA4A11A29E013a3A2627086e422,
StakeWise Staked GNO,OSGNO,18,0xF490c80aAE5f2616d3e3BDa2483E30C4CB21d1A0,
Backed ZPR1 $ 1-3 Month T-Bill,BZPR1,18,0xAde6057FcAfa57d6d51FFa341C64ce4814995995,
Backed Swiss Domestic Government Bond 0-3,BCSBGC3,18,0xd8B95B1987741849cA7e71e976aEB535fd2e55a2,
Backed GameStop Corp,BGME,18,0x7212088A11b4d8f6FC90fbB3dfE793B45dd72323,
Backed ERNA $ Bond,BERNA,18,0x0f76D32CDccDcbd602A55Af23EAF58FD1eE17245,
Staked EURA,stEUR,18,0x004626A008B1aCdC4c74ab51644093b155e59A23,0x004626A008B1aCdC4c74ab51644093b155e59A23
Balancer Stable USD,STABAL3,18,0x2086f52651837600180dE173B09470F54EF74910,
Aave v3 USDC,AUSDC,6,0xc6B7AcA6DE8a6044E0e32d0c841a89244A10D284,
Aave v3 DAI,ADAI,18,0xd0Dd6cEF72143E22cCED4867eb0d5F2328715533,
Aave v3 sDAI,ASDAI,18,0x7a5c3860a77a8DC1b225BD46d0fb2ac1C6D191BC,
