Name,Symbol,Decimals,Chain,Token Address,dailyLimit,executionDailyLimit,minPerTx,maxPerTx,dailyLimit (raw),executionDailyLimit (raw),minPerTx (raw),maxPerTx (raw)
"DAOhaus Token",HAUS,18,Ethereum,0xf2051511B9b121394FA75B8F7d4E7424337af687,1000000000000000000,120000.000000000000000001,0.000000000000000001,1000000000,1000000000000000000000000000000000000,120000000000000000000001,1,1000000000000000000000000000
"Circuits of Value",COVAL,8,Gnosis,0x8b8407c6184f1f0Fd1082e83d6A3b8349cAcEd12,1000000000000000000,1000000000000000000,0.00000001,1000000000,100000000000000000000000000,100000000000000000000000000,1,100000000000000000
"Circuits of Value",COVAL,8,Ethereum,null,null,null,null,null,null,null,null,null
"STAKE",STAKE,18,Gnosis,0xb7D311E2Eb55F2f68a9440da38e7989210b9A05e,100000.000000000000000001,1000000,0.000000000000000001,100000,100000000000000000000001,1000000000000000000000000,1,100000000000000000000000
"STAKE",STAKE,18,Ethereum,0x0Ae055097C6d159879521C384F1D2123D1f195e6,1000000,100000.000000000000000001,0.000000000000000001,100000,1000000000000000000000000,100000000000000000000001,1,100000000000000000000000
"Donut",DONUT,18,Gnosis,0x524B969793a64a602342d89BC2789D43a016B13A,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Donut",DONUT,18,Ethereum,0xC0F9bD5Fa5698B6505F643900FFA515Ea5dF54A9,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Wrapped Backed Coinbase Global",WBCOIN,18,Gnosis,0xDEc933e2392AD908263e70A386fbF34e703Ffe8F,0,0,0,0,0,0,0,0
"Wrapped Backed Coinbase Global",WBCOIN,18,Ethereum,null,null,null,null,null,null,null,null,null
"Chilean Peso",WCLP,18,Gnosis,0x61D450a098b6a7f69fC4b98CE68198fe59768651,0,0,0,0,0,0,0,0
"Chilean Peso",WCLP,18,Ethereum,null,null,null,null,null,null,null,null,null
"Mexican Peso",WMXN,18,Gnosis,0x337E7456B420bD3481e7FA61fA9850343d610d34,0,0,0,0,0,0,0,0
"Mexican Peso",WMXN,18,Ethereum,null,null,null,null,null,null,null,null,null
"Colombian Peso",WCOP,18,Gnosis,0x8a1D45e102e886510e891d2Ec656a708991e2D76,0,0,0,0,0,0,0,0
"Colombian Peso",WCOP,18,Ethereum,null,null,null,null,null,null,null,null,null
"Hop",HOP,18,Gnosis,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Hop",HOP,18,Ethereum,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Peruvian Sol",WPEN,18,Gnosis,0x4F34c8b3b5FB6D98Da888F0feA543d4d9C9F2eBE,0,0,0,0,0,0,0,0
"Peruvian Sol",WPEN,18,Ethereum,null,null,null,null,null,null,null,null,null
"Minerva Wallet",MIVA,18,Gnosis,0x63e62989D9EB2d37dfDB1F93A22f063635b07d51,0,0,0,0,0,0,0,0
"Minerva Wallet",MIVA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped Aave Gnosis wstETH",WAGNOWSTETH,18,Gnosis,0x773CDA0CADe2A3d86E6D4e30699d40bB95174ff2,0,0,0,0,0,0,0,0
"Wrapped Aave Gnosis wstETH",WAGNOWSTETH,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped bTSLA",WBTSLA,18,Gnosis,0x1f82284C1658Ad71C576f7230E6C2DEE7901c1FA,0,0,0,0,0,0,0,0
"Wrapped bTSLA",WBTSLA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped Aave Gnosis GNO",WAGNOGNO,18,Gnosis,0x7c16F0185A26Db0AE7a9377f23BC18ea7ce5d644,0,0,0,0,0,0,0,0
"Wrapped Aave Gnosis GNO",WAGNOGNO,18,Ethereum,null,null,null,null,null,null,null,null,null
"Particle",PRTCLE,18,Gnosis,0xB5d592f85ab2D955c25720EbE6FF8D4d1E1Be300,0,0,0,0,0,0,0,0
"Particle",PRTCLE,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped Aave Gnosis WETH",WAGNOWETH,18,Gnosis,0x57f664882F762FA37903FC864e2B633D384B411A,0,0,0,0,0,0,0,0
"Wrapped Aave Gnosis WETH",WAGNOWETH,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped bMSTR",WBMSTR,18,Gnosis,0x1a4F71B0Ff3C22540887bcf83b50054a213c673d,0,0,0,0,0,0,0,0
"Wrapped bMSTR",WBMSTR,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped bNVDA",WBNVDA,18,Gnosis,0x7E8101A1C322D394b3961498c7D40d2DFA94C392,0,0,0,0,0,0,0,0
"Wrapped bNVDA",WBNVDA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed Microsoft",BMSFT,18,Gnosis,0x374A457967Ba24FD3Ae66294cAb08244185574b0,0,0,0,0,0,0,0,0
"Backed Microsoft",BMSFT,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed Tesla",BTSLA,18,Gnosis,0x14A5f2872396802C3Cc8942A39Ab3E4118EE5038,0,0,0,0,0,0,0,0
"Backed Tesla",BTSLA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed Alphabet Class A",BGOOGL,18,Gnosis,0xEbee37Aaf2905b7BdA7E3b928043862e982E8F32,0,0,0,0,0,0,0,0
"Backed Alphabet Class A",BGOOGL,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed NVIDIA",BNVDA,18,Gnosis,0xA34C5e0AbE843E10461E2C9586Ea03E55Dbcc495,0,0,0,0,0,0,0,0
"Backed NVIDIA",BNVDA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed MicroStrategy",BMSTR,18,Gnosis,0xaC28C9178ACc8BA4A11A29E013a3A2627086e422,0,0,0,0,0,0,0,0
"Backed MicroStrategy",BMSTR,18,Ethereum,null,null,null,null,null,null,null,null,null
"StakeWise Staked GNO",OSGNO,18,Gnosis,0xF490c80aAE5f2616d3e3BDa2483E30C4CB21d1A0,0,0,0,0,0,0,0,0
"StakeWise Staked GNO",OSGNO,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed ZPR1 $ 1-3 Month T-Bill",BZPR1,18,Gnosis,0xAde6057FcAfa57d6d51FFa341C64ce4814995995,0,0,0,0,0,0,0,0
"Backed ZPR1 $ 1-3 Month T-Bill",BZPR1,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed Swiss Domestic Government Bond 0-3",BCSBGC3,18,Gnosis,0xd8B95B1987741849cA7e71e976aEB535fd2e55a2,0,0,0,0,0,0,0,0
"Backed Swiss Domestic Government Bond 0-3",BCSBGC3,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed GameStop Corp",BGME,18,Gnosis,0x7212088A11b4d8f6FC90fbB3dfE793B45dd72323,0,0,0,0,0,0,0,0
"Backed GameStop Corp",BGME,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed ERNA $ Bond",BERNA,18,Gnosis,0x0f76D32CDccDcbd602A55Af23EAF58FD1eE17245,0,0,0,0,0,0,0,0
"Backed ERNA $ Bond",BERNA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Staked EURA",stEUR,18,Gnosis,0x004626A008B1aCdC4c74ab51644093b155e59A23,0,0,0,0,0,0,0,0
"Staked EURA",stEUR,18,Ethereum,0x004626A008B1aCdC4c74ab51644093b155e59A23,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"Balancer Stable USD",STABAL3,18,Gnosis,0x2086f52651837600180dE173B09470F54EF74910,0,0,0,0,0,0,0,0
"Balancer Stable USD",STABAL3,18,Ethereum,null,null,null,null,null,null,null,null,null
"Aave v3 USDC",AUSDC,6,Gnosis,0xc6B7AcA6DE8a6044E0e32d0c841a89244A10D284,0,0,0,0,0,0,0,0
"Aave v3 USDC",AUSDC,6,Ethereum,null,null,null,null,null,null,null,null,null
"Aave v3 DAI",ADAI,18,Gnosis,0xd0Dd6cEF72143E22cCED4867eb0d5F2328715533,0,0,0,0,0,0,0,0
"Aave v3 DAI",ADAI,18,Ethereum,null,null,null,null,null,null,null,null,null
"Aave v3 sDAI",ASDAI,18,Gnosis,0x7a5c3860a77a8DC1b225BD46d0fb2ac1C6D191BC,0,0,0,0,0,0,0,0
"Aave v3 sDAI",ASDAI,18,Ethereum,null,null,null,null,null,null,null,null,null
