Name,Symbol,Decimals,Chain,Token Address,dailyLimit,executionDailyLimit,minPerTx,maxPerTx,dailyLimit (raw),executionDailyLimit (raw),minPerTx (raw),maxPerTx (raw)
"Backed CSPX Core S&P 500",bCSPX,18,Gnosis,0x1e2C4fb7eDE391d116E6B41cD0608260e8801D59,0,0,0,0,0,0,0,0
"Backed CSPX Core S&P 500",bCSPX,18,Ethereum,0x1e2C4fb7eDE391d116E6B41cD0608260e8801D59,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"Monerium EUR emoney",EURE,18,Gnosis,0x420CA0f9B9b604cE0fd9C18EF134C705e5Fa3430,0,0,0,0,0,0,0,0
"Monerium EUR emoney",EURE,18,Ethereum,null,null,null,null,null,null,null,null,null
"Monerium EUR emoney [OLD]",EURE,18,Gnosis,0xcB444e90D8198415266c6a2724b7900fb12FC56E,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Monerium EUR emoney [OLD]",EURE,18,Ethereum,null,null,null,null,null,null,null,null,null
"BRLA Digital BRLA",BRLA,18,Gnosis,0xFECB3F7c54E2CAAE9dC6Ac9060A822D47E053760,0,0,0,0,0,0,0,0
"BRLA Digital BRLA",BRLA,18,Ethereum,null,null,null,null,null,null,null,null,null
"JPY Coin",JPYC,18,Gnosis,0x431D5dfF03120AFA4bDf332c61A6e1766eF37BDB,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"JPY Coin",JPYC,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed IB01 $ Treasury Bond 0-1yr",BIB01,18,Gnosis,0xCA30c93B02514f86d5C86a6e375E3A330B435Fb5,0,0,0,0,0,0,0,0
"Backed IB01 $ Treasury Bond 0-1yr",BIB01,18,Ethereum,null,null,null,null,null,null,null,null,null
"JPY Coin",JPYC,18,Gnosis,0x417602f4fbdd471A431Ae29fB5fe0A681964C11b,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"JPY Coin",JPYC,18,Ethereum,0x2370f9d504c7a6E775bf6E14B3F12846b594cD53,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"USD Coin",USDC,6,Gnosis,0xDDAfbb505ad214D7b80b1f830fcCc89B60fb7A83,35000000,1000000000000000000,0.000001,10000000,35000000000000,1000000000000000000000000,1,10000000000000
"USD Coin",USDC,6,Ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1000000000000000000,35000000,0.000001,1000000000,1000000000000000000000000,35000000000000,1,1000000000000000
"Gnosis xDAI Bridged USDC (Gnosis)",USDC.E,6,Gnosis,0x2a22f9c3b484c3629090FeED35F17Ff8F88f76F0,10000000000000000000,10000000000000000000,0.000001,1000000000000000000,10000000000000000000000000,10000000000000000000000000,1,1000000000000000000000000
"Gnosis xDAI Bridged USDC (Gnosis)",USDC.E,6,Ethereum,null,null,null,null,null,null,null,null,null
"HOPR Token",HOPR,18,Gnosis,0xD057604A14982FE8D88c5fC25Aac3267eA142a08,40000000.000000000000000001,1000000000000000000,0.000000000000000001,20000000.000000000000000001,40000000000000000000000001,1000000000000000000000000000000000000,1,20000000000000000000000001
"HOPR Token",HOPR,18,Ethereum,0xF5581dFeFD8Fb0e4aeC526bE659CFaB1f8c781dA,1000000000000000000,40000000.000000000000000001,0.000000000000000001,1000000000,1000000000000000000000000000000000000,40000000000000000000000001,1,1000000000000000000000000000
"MAI",MIMATIC,18,Gnosis,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"MAI",MIMATIC,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed GOVIES 0-6 months EURO",BC3M,18,Gnosis,0x2F123cF3F37CE3328CC9B5b8415f9EC5109b45e7,0,0,0,0,0,0,0,0
"Backed GOVIES 0-6 months EURO",BC3M,18,Ethereum,null,null,null,null,null,null,null,null,null
"Pinakion",PNK,18,Gnosis,0x37b60f4E9A31A64cCc0024dce7D0fD07eAA0F7B3,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Pinakion",PNK,18,Ethereum,0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Balancer",BAL,18,Gnosis,0x7eF541E2a22058048904fE5744f9c7E4C57AF717,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Balancer",BAL,18,Ethereum,0xba100000625a3754423978a60c9317c58a424e3D,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Ethix",ETHIX,18,Gnosis,0xec3f3e6d7907acDa3A7431abD230196CDA3FbB19,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Ethix",ETHIX,18,Ethereum,0xFd09911130e6930Bf87F2B0554c44F400bD80D3e,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Badger",BADGER,18,Gnosis,0xdfc20AE04ED70bd9c7D720F449eEDAe19F659D65,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Badger",BADGER,18,Ethereum,0x3472A5A71965499acd81997a54BBA8D852C6E53d,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Backed Coinbase Global",BCOIN,18,Gnosis,0xbbcb0356bB9e6B3Faa5CbF9E5F36185d53403Ac9,0,0,0,0,0,0,0,0
"Backed Coinbase Global",BCOIN,18,Ethereum,null,null,null,null,null,null,null,null,null
"Autonolas",OLAS,18,Gnosis,0xcE11e14225575945b8E6Dc0D4F2dD4C570f79d9f,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Autonolas",OLAS,18,Ethereum,0x0001A500A6B18995B03f44bb040A5fFc28E45CB0,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Wrapped Ether",WETH,18,Gnosis,0x6A023CCd1ff6F2045C3309768eAd9E68F978f6e1,5000.000000000000000001,1000000000000000000,0.000000000000000001,5000,5000000000000000000001,1000000000000000000000000000000000000,1,5000000000000000000000
"Wrapped Ether",WETH,18,Ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1000000000000000000,5000.000000000000000001,0.000000000000000001,1000000000,1000000000000000000000000000000000000,5000000000000000000001,1,1000000000000000000000000000
"RealToken Ecosystem Governance",REG,18,Gnosis,0x0AA1e96D2a46Ec6beB2923dE1E61Addf5F5f1dce,0,0,0,0,0,0,0,0
"RealToken Ecosystem Governance",REG,18,Ethereum,null,null,null,null,null,null,null,null,null
"BZZ",BZZ,16,Gnosis,0xdBF3Ea6F5beE45c02255B2c26a16F300502F68da,1000000000000000000,1000000000000000000,0.0000000000000001,1000000000,10000000000000000000000000000000000,10000000000000000000000000000000000,1,10000000000000000000000000
"BZZ",BZZ,16,Ethereum,0x19062190B1925b5b6689D7073fDfC8c2976EF8Cb,1000000000000000000,1000000000000000000,0.0000000000000001,1000000000,10000000000000000000000000000000000,10000000000000000000000000000000000,1,10000000000000000000000000
"DefiPulse Index",DPI,18,Gnosis,0xD3D47d5578e55C880505dC40648F7F9307C3e7A8,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"DefiPulse Index",DPI,18,Ethereum,0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"FOX",FOX,18,Gnosis,0x21a42669643f45Bc0e086b8Fc2ed70c23D67509d,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"FOX",FOX,18,Ethereum,0xc770EEfAd204B5180dF6a14Ee197D99d808ee52d,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Mt Pelerin Shares",MPS,0,Gnosis,0xfa57AA7beED63D03Aaf85fFd1753f5f6242588fb,1000000000000000000,1000000000000000000,1,1000000000,1000000000000000000,1000000000000000000,1,1000000000
"Mt Pelerin Shares",MPS,0,Ethereum,null,null,null,null,null,null,null,null,null
"Agave",AGVE,18,Gnosis,0x3a97704a1b25F08aa230ae53B352e2e72ef52843,0,0,0,0,0,0,0,0
"Agave",AGVE,18,Ethereum,null,null,null,null,null,null,null,null,null
"Wrapped BTC",WBTC,8,Gnosis,0x8e5bBbb09Ed1ebdE8674Cda39A0c169401db4252,24.00000001,1000000000000000000,0.00000001,24,2400000001,100000000000000000000000000,1,2400000000
"Wrapped BTC",WBTC,8,Ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,1000000000000000000,24.00000001,0.00000001,1000000000,100000000000000000000000000,2400000001,1,100000000000000000
"EURA",EURA,18,Gnosis,0x4b1E2c2762667331Bc91648052F646d1b0d35984,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"EURA",EURA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Swash",SWASH,18,Gnosis,0x84E2C67CBEfae6B5148fcA7d02B341B12ff4b5Bb,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Swash",SWASH,18,Ethereum,null,null,null,null,null,null,null,null,null
"Perpetual",PERP,18,Gnosis,0x7ecF26cd9A36990b8ea477853663092333f59979,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Perpetual",PERP,18,Ethereum,0xbC396689893D065F41bc2C6EcbeE5e0085233447,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Backed IBTA $ Treasury Bond 1-3yr",BIBTA,18,Gnosis,0x52d134c6DB5889FaD3542A09eAf7Aa90C0fdf9E4,0,0,0,0,0,0,0,0
"Backed IBTA $ Treasury Bond 1-3yr",BIBTA,18,Ethereum,null,null,null,null,null,null,null,null,null
"IDRX",IDRX,2,Gnosis,0x18Bc5bcC660cf2B9cE3cd51a404aFe1a0cBD3C22,0,0,0,0,0,0,0,0
"IDRX",IDRX,2,Ethereum,null,null,null,null,null,null,null,null,null
"Fuse",FUSE,18,Gnosis,0xD589F00Fa2Eb83367f732AB3CDA92eE0940389cF,0,0,0,0,0,0,0,0
"Fuse",FUSE,18,Ethereum,null,null,null,null,null,null,null,null,null
"Streamr",DATA,18,Gnosis,0x256eb8a51f382650B2A1e946b8811953640ee47D,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Streamr",DATA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Shutter Token",SHU,18,Gnosis,0x8CCd277Cc638E7e17F8100cE583cBcEf42007Dca,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"Shutter Token",SHU,18,Ethereum,0xe485E2f1bab389C08721B291f6b59780feC83Fd7,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"Monerium GBP emoney",GBPE,18,Gnosis,0x5Cb9073902F2035222B9749F8fB0c9BFe5527108,0,0,0,0,0,0,0,0
"Monerium GBP emoney",GBPE,18,Ethereum,null,null,null,null,null,null,null,null,null
"Decentralized Insurance Protocol",DIP,18,Gnosis,0x48b1B0d077b4919b65b4E4114806dD803901E1D9,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Decentralized Insurance Protocol",DIP,18,Ethereum,0xc719d010B63E5bbF2C0551872CD5316ED26AcD83,1000000000000000000,1000000000000000000,0.000000000000000001,1000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1,1000000000000000000000000000
"Tether USD",USDT,6,Gnosis,0x4ECaBa5870353805a9F068101A40E0f32ed605C6,35000000,1000000000000000000,0.000001,10000000,35000000000000,1000000000000000000000000,1,10000000000000
"Tether USD",USDT,6,Ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,1000000000000000000,35000000,0.000001,1000000000,1000000000000000000000000,35000000000000,1,1000000000000000
"Aura Finance",AURA,18,Gnosis,0x1509706a6c66CA549ff0cB464de88231DDBe213B,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Aura Finance",AURA,18,Ethereum,null,null,null,null,null,null,null,null,null
"Backed NIU Technologies",BNIU,18,Gnosis,0x2f11EeeE0bf21E7661A22dbBbb9068F4ad191b86,0,0,0,0,0,0,0,0
"Backed NIU Technologies",BNIU,18,Ethereum,null,null,null,null,null,null,null,null,null
"Curve.fi wxDAI/USDC/USDT",X3CRV,18,Gnosis,0x1337BedC9D22ecbe766dF105c9623922A27963EC,0,0,0,0,0,0,0,0
"Curve.fi wxDAI/USDC/USDT",X3CRV,18,Ethereum,null,null,null,null,null,null,null,null,null
"Bread",BREAD,18,Gnosis,0xa555d5344f6FB6c65da19e403Cb4c1eC4a1a5Ee3,0,0,0,0,0,0,0,0
"Bread",BREAD,18,Ethereum,null,null,null,null,null,null,null,null,null
"PoolTogether",POOL,18,Gnosis,0x216a7d520992eD198593A16e0b17c784c9cdc660,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"PoolTogether",POOL,18,Ethereum,0x0cEC1A9154Ff802e7934Fc916Ed7Ca50bDE6844e,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
